0	0	0	0	0	0	0
260.9988903	259.5508404	261.2059507	242.6068962	236.5138257	224.0979217	193.3239113
425.5099325	420.0330944	415.8047941	389.5095549	376.4982471	349.9566444	301.8992179
529.2034117	519.2604898	507.306547	478.4616476	459.350225	420.6418965	362.8776924
594.5627791	580.6135412	561.4632963	532.3236734	508.3874691	460.3404153	397.124654
635.7596502	618.5485984	593.5168187	564.9380587	537.410932	482.6360476	416.3585622
661.7265813	642.0041321	612.4881993	584.6866314	554.5889242	495.157805	427.1607824
678.0938804	656.5068666	623.7167088	596.6447327	564.7559886	502.1903217	433.2275663
688.4104048	665.4740174	630.3624784	603.8855691	570.7735254	506.1399504	436.6348164
694.9130462	671.0184747	634.2958815	608.2700205	574.335099	508.3581558	438.548409
699.0117468	674.4466548	636.6239279	610.9248814	576.4430722	509.6039527	439.6231282
701.5952119	676.5663245	638.0018187	612.5324454	577.6907093	510.3036219	440.2267161
703.223604	677.8769324	638.817345	613.5058531	578.4291429	510.6965727	440.5657053

